scenario_id,scenario_name,sheet_name,experiment_mode,environment_represents,demand_multiplier,demand_growth_rate,beginner_share,mid_market_share,premium_share,price_sensitivity,quality_sensitivity,technology_shift_pressure,supply_risk,material_cost_multiplier,forecast_volatility,customer_pickiness,price_war_pressure,cash_stress_factor,service_sensitivity,inventory_holding_cost_pressure,warranty_sensitivity,lifecycle_speed,market_generation,premium_tech_adoption,mid_market_tech_adoption,beginner_price_pressure,late_surge_round,late_surge_multiplier,applied_parameter_notes,documented_not_engine_native,calibrated_strategy_logic
1,Baseline,01_Baseline,calibrated,"Balanced demand, normal cost, and moderate technology pressure.",1.0,0.07,0.25,0.5,0.25,1.0,0.6,0.16,Moderate,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6,0.16,2,0.78,0.58,0.62,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
2,Picky Customers,02_Picky_Customers,calibrated,Customers are selective and punish poor quality or weak service.,0.98,0.08,0.09,0.54,0.37,0.85,1.0,0.19,Low,0.9831,0.03,1.5,0.0,1.04,1.5,1.04,1.0,0.19,2,0.83,0.62,0.5325,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
3,Price Sensitive,03_Price_Sensitive,calibrated,Buyers trade down and compare prices aggressively.,1.35,0.09,0.43,0.48,0.09,1.75,0.2952,0.14,Moderate,0.84,0.04,0.82,0.45,0.98,0.82,0.98,0.2952,0.14,2,0.7,0.53,1.0,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
4,Tech Shift,04_Tech_Shift,calibrated,Customers move toward newer paddle technology generations.,1.22,0.1,0.03,0.56,0.41,0.95,0.693,0.88,Moderate,0.9747,0.05,1.05,0.05,1.06,1.05,1.06,0.693,0.88,4,1.0,0.88,0.6215,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
5,Beginner Boom,05_Beginner_Boom,calibrated,New players enter the market and beginner demand expands quickly.,1.85,0.19,0.47,0.46,0.07,1.25,0.3344,0.14,Moderate,0.82,0.08,0.88,0.25,1.0,0.88,1.0,0.3344,0.14,2,0.68,0.54,1.0,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
6,Premium Market,06_Premium_Market,calibrated,Premium buyers expand and accept higher prices for quality and technology.,1.35,0.11,0.01,0.48,0.51,0.58,1.0,0.28,Low,0.9438,0.04,1.22,0.0,1.05,1.22,1.05,1.0,0.28,2,1.0,0.66,0.479,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
7,Demand Recession,07_Demand_Recession,calibrated,Market demand contracts and growth turns negative.,0.72,-0.01,0.33,0.48,0.19,1.2,0.5152,0.14,Moderate,1.0265,0.07,0.92,0.2,1.08,0.92,1.08,0.5152,0.14,2,0.74,0.55,0.806,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
8,Demand Boom,08_Demand_Boom,calibrated,Demand grows quickly across the market.,2.1,0.23,0.23,0.53,0.24,0.9,0.6076,0.2,Low,0.943,0.04,0.98,0.0,1.04,0.98,1.04,0.6076,0.2,2,0.82,0.61,0.575,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
9,Supply Shock,09_Supply_Shock,calibrated,Supply becomes unreliable and materials become more expensive.,0.98,0.06,0.27,0.48,0.25,1.05,0.714,0.17,High,1.197,0.06,1.05,0.05,1.18,1.05,1.18,0.714,0.17,2,0.78,0.58,0.7065,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
10,Cost Inflation,10_Cost_Inflation,calibrated,Input costs rise even without severe supply disruption.,1.0,0.08,0.24,0.5,0.26,1.12,0.62,0.18,Moderate,1.2618,0.03,1.0,0.08,1.22,1.0,1.22,0.62,0.18,2,0.8,0.59,0.7324,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
